id,nivel,iso3,pais,departamento,municipio,anio,periodo,causa,sexo,grupo_edad,personas_desplazadas,desplazamiento_stock,duracion_periodo_anios,tipo_fuente,fuente
27826,Regional,COL,Colombia,TOLIMA,ALVARADO,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,552.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27827,Regional,COL,Colombia,TOLIMA,ALVARADO,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,1213.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27828,Regional,COL,Colombia,TOLIMA,AMBALEMA,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,0.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27829,Regional,COL,Colombia,TOLIMA,AMBALEMA,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,24.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27830,Regional,COL,Colombia,TOLIMA,AMBALEMA,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,201.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27831,Regional,COL,Colombia,TOLIMA,AMBALEMA,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,491.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27832,Regional,COL,Colombia,TOLIMA,ANZOÁTEGUI,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,6.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27833,Regional,COL,Colombia,TOLIMA,ANZOÁTEGUI,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,99.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27834,Regional,COL,Colombia,TOLIMA,ANZOÁTEGUI,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,1589.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27835,Regional,COL,Colombia,TOLIMA,ANZOÁTEGUI,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,4014.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
